9dWPoN02z3JBbmqjtz2_tg,wtazPNyIbsRMHmrpEYbqZA,4
Cqn_766h_JpQoV6fwizJhg,wtazPNyIbsRMHmrpEYbqZA,4
zSblIQYZhN0gauAhIx46Tg,wtazPNyIbsRMHmrpEYbqZA,2
NJ8i8HeGJUDFlzKj6S7Jow,wtazPNyIbsRMHmrpEYbqZA,5
HS3y3GltOH_pJ37-EJwOng,wtazPNyIbsRMHmrpEYbqZA,5
17TiV5o3EsIIbyFgSpBmXg,wtazPNyIbsRMHmrpEYbqZA,4
wsCRhiX1UpakSeDvo9DHQg,wtazPNyIbsRMHmrpEYbqZA,1
El0_mZrcFQmyW7LNz41R5Q,wtazPNyIbsRMHmrpEYbqZA,4
uaeU6FBaY5by7V1Cj_2RpQ,wtazPNyIbsRMHmrpEYbqZA,2
3oXOq3p_XzMvmL6G2ALYMw,wtazPNyIbsRMHmrpEYbqZA,5
sbtSsIQKYRPmS4KJ6jdYnw,wtazPNyIbsRMHmrpEYbqZA,2
b6icLzaIuloPmFvWuuUIsw,wtazPNyIbsRMHmrpEYbqZA,2
uT-yzDkY79szXYNWk7zDzQ,wtazPNyIbsRMHmrpEYbqZA,4
30XooIBLkNu5kuLyplk99Q,wtazPNyIbsRMHmrpEYbqZA,5
UL8GNRQ3pha7b8wT18a06w,50pDd3dmJCb6m9JxBUq7KA,4
0ZOyELrQlUTttLGyPvprNw,8rIDfnWHSo-K0Xb9Y1gjrA,3
OWnXsnsaWPrNlF_X_CtNfQ,8rIDfnWHSo-K0Xb9Y1gjrA,5
rfeoOzsisnfEEvb__5ucxA,8rIDfnWHSo-K0Xb9Y1gjrA,1
EINIiIHfs_T8u2ffsI3Olg,8rIDfnWHSo-K0Xb9Y1gjrA,5
3nsMwcftirYRa1TX6QHrWg,8rIDfnWHSo-K0Xb9Y1gjrA,5
rjoNjBnnQ6q7jPHoGR7LEA,8rIDfnWHSo-K0Xb9Y1gjrA,4
rDpzz_Y17knyugcG92S4Qg,8rIDfnWHSo-K0Xb9Y1gjrA,5
hVidDZUvOiy3xl0v3WKJlg,8rIDfnWHSo-K0Xb9Y1gjrA,4
LNLDqexYQC_R60TR13otHA,8rIDfnWHSo-K0Xb9Y1gjrA,5
XE36pmSiByd4YtSiPkn9_A,8rIDfnWHSo-K0Xb9Y1gjrA,5
v77t8FyCuK-igHjJaRhXgQ,8rIDfnWHSo-K0Xb9Y1gjrA,1
vTDIfVV-JFfyc6XZMkpk-g,8rIDfnWHSo-K0Xb9Y1gjrA,5
